date;rate
17.12.2018;7.75
17.06.2019;7.50
29.07.2019;7.25
09.09.2019;7.00
28.10.2019;6.50
16.12.2019;6.25
10.02.2020;6.00
27.04.2020;5.50
22.06.2020;4.50
27.07.2020;4.25
22.03.2021;4.50
26.04.2021;5.00
15.06.2021;5.50
26.07.2021;6.50
13.09.2021;6.75
25.10.2021;7.5
20.12.2021;8.5
14.02.2022;9.5
28.02.2022;20.0
11.04.2022;17.0
04.05.2022;14
27.05.2022;11
14.06.2022;9.5
25.07.2022;8
19.09.2022;7.5
24.07.2023;8.5
15.08.2023;12
18.09.2023;13
30.10.2023;15
18.12.2023;16
29.07.2024;18
16.09.2024;19
28.10.2024;21